,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour
0,04/24/2022,1900-01-01 15:35:00,MANHATTAN,10019.0,40.767242,-73.986206,"(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4521853,Station Wagon/Sport Utility Vehicle,Bike,,,,15
1,04/07/2022,1900-01-01 14:14:00,MANHATTAN,10017.0,40.748158,-73.97033,"(40.748158, -73.97033)",1 AVENUE,EAST 41 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4522242,Sedan,Station Wagon/Sport Utility Vehicle,,,,14
2,03/26/2022,1900-01-01 01:02:00,MANHATTAN,10025.0,40.797836,-73.96946,"(40.797836, -73.96946)",WEST 101 STREET,BROADWAY,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4513935,Sedan,Moped,,,,1
3,03/21/2022,1900-01-01 12:05:00,MANHATTAN,10018.0,40.75632,-73.999275,"(40.75632, -73.999275)",,,515       WEST 36 STREET,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4514237,Motorcycle,Sedan,,,,12
4,03/26/2022,1900-01-01 01:45:00,MANHATTAN,10065.0,40.761486,-73.96061,"(40.761486, -73.96061)",EAST 62 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4513985,Sedan,Sedan,,,,1
5,03/26/2022,1900-01-01 08:21:00,MANHATTAN,10032.0,40.833786,-73.94037,"(40.833786, -73.94037)",SAINT NICHOLAS AVENUE,WEST 159 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513564,Box Truck,Station Wagon/Sport Utility Vehicle,,,,8
6,03/26/2022,1900-01-01 13:48:00,MANHATTAN,10032.0,40.835037,-73.93979,"(40.835037, -73.93979)",,,1016      SAINT NICHOLAS AVENUE,1,0,1,0,0,0,0,0,,,,,,4513565,,,,,,13
7,03/26/2022,1900-01-01 23:17:00,MANHATTAN,10002.0,40.72224,-73.9863,"(40.72224, -73.9863)",ESSEX STREET,EAST HOUSTON STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4513887,Station Wagon/Sport Utility Vehicle,Sedan,,,,23
8,03/16/2022,1900-01-01 15:44:00,MANHATTAN,10017.0,,,,49 street,5 avenue,,1,0,1,0,0,0,0,0,Unspecified,,,,,4514194,Bike,,,,,15
9,03/26/2022,1900-01-01 19:50:00,MANHATTAN,10012.0,40.730145,-73.99781,"(40.730145, -73.99781)",,,60        WASHINGTON SQUARE SOUTH,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,4513735,E-Bike,BOX VAN,,,,19
10,03/20/2022,1900-01-01 10:34:00,MANHATTAN,10024.0,40.778805,-73.974075,"(40.778805, -73.974075)",WEST 76 STREET,CENTRAL PARK WEST,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4514302,Sedan,,,,,10
11,03/26/2022,1900-01-01 14:54:00,MANHATTAN,10001.0,40.747894,-73.989174,"(40.747894, -73.989174)",AVENUE OF THE AMERICAS,WEST 31 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513708,Sedan,Taxi,,,,14
12,03/26/2022,1900-01-01 02:10:00,MANHATTAN,10018.0,40.754707,-73.99164,"(40.754707, -73.99164)",WEST 38 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513739,Bike,,,,,2
13,03/25/2022,1900-01-01 21:35:00,MANHATTAN,10035.0,40.798286,-73.938705,"(40.798286, -73.938705)",,,231       EAST 117 STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514155,Taxi,Sedan,,,,21
14,03/05/2022,1900-01-01 14:52:00,MANHATTAN,10035.0,40.799484,-73.92929,"(40.799484, -73.92929)",,,30        PALADINO AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4514151,Sedan,,,,,14
15,03/26/2022,1900-01-01 18:19:00,MANHATTAN,10019.0,40.766502,-73.99418,"(40.766502, -73.99418)",WEST 51 STREET,11 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4514070,Sedan,,,,,18
16,03/26/2022,1900-01-01 14:30:00,MANHATTAN,10018.0,40.7514,-73.983765,"(40.7514, -73.983765)",,,25        WEST 38 STREET,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4513714,Bike,,,,,14
17,03/26/2022,1900-01-01 08:50:00,MANHATTAN,10035.0,40.80765,-73.939255,"(40.80765, -73.939255)",EAST 128 STREET,MADISON AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4514157,Sedan,Taxi,,,,8
18,03/26/2022,1900-01-01 02:01:00,MANHATTAN,10033.0,40.85019,-73.939644,"(40.85019, -73.939644)",WEST 180 STREET,PINEHURST AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513779,Sedan,Sedan,,,,2
19,03/24/2022,1900-01-01 09:36:00,MANHATTAN,10069.0,40.7802,-73.98755,"(40.7802, -73.98755)",WEST 71 STREET,RIVERSIDE BOULEVARD,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,Unspecified,,,4514303,Sedan,Sedan,Sedan,,,9
20,03/22/2022,1900-01-01 17:44:00,MANHATTAN,10024.0,40.783146,-73.97833,"(40.783146, -73.97833)",AMSTERDAM AVENUE,WEST 79 STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,4514301,Bike,Sedan,,,,17
