CRASH DATE,hour,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3
1/2/2020,10,40.7597400,-73.9742300,0,0,0,0,Other Vehicular,Other Vehicular,
1/2/2020,13,40.7535500,-73.9850500,1,0,1,0,Driver Inattention/Distraction,,
1/2/2020,9,40.7579350,-73.9855700,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,
1/2/2020,14,40.7552900,-73.9949300,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/2/2020,10,40.8438200,-73.9347700,0,0,0,0,Unspecified,Unspecified,
1/2/2020,0,40.8178860,-73.9455260,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,
1/2/2020,20,40.7722430,-73.9900050,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,6,40.7545800,-73.9991500,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/2/2020,16,40.8264240,-73.9525400,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,0,40.7857320,-73.9764500,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,12,40.7804900,-73.9839860,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,
1/2/2020,10,40.7851560,-73.9790100,1,0,0,0,Following Too Closely,Unspecified,
1/2/2020,8,40.8067000,-73.9508740,0,0,0,0,Unspecified,,
1/2/2020,17,40.7839300,-73.9442300,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/2/2020,6,40.7636640,-73.9560900,0,0,0,0,Driver Inexperience,Unspecified,
1/2/2020,12,40.7308200,-73.9829500,0,0,0,0,Following Too Closely,Passing or Lane Usage Improper,
1/2/2020,15,40.7140850,-73.9825060,0,0,0,0,Unspecified,,
1/2/2020,20,40.7576370,-73.9634200,1,0,1,0,Driver Inattention/Distraction,,
1/2/2020,14,40.7910460,-73.9513800,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,11,40.7531620,-73.9936900,0,0,0,0,Unspecified,,
1/2/2020,14,40.7053070,-74.0090300,0,0,0,0,Unspecified,Unspecified,
