index,school name,LATITUDE,LONGITUDE
1,Washington Heights Academy,40.865540816774484, -73.92151637221868
2,P.S. 018 Park Terrace,40.87209631168033, -73.91144388657904
3,Paula Hedbavny School,40.8716693554154, -73.91223978940742
4,P.S. 005 Ellen Lurie,40.85903505778391, -73.92240354766083
5,Amistad Dual Language School,40.86676244159841, -73.92379277221876
6,P.S.048 Michael J. Buczek,40.85349151956065, -73.93359988571318
7,P.S. 132 Juan Pablo Duarte,40.85083810442382, -73.93419532193865
8,Professor Juan Bosch Public School,40.859535174593596, -73.92825288940796
9,P.S. 005 Ellen Lurie,40.85904317223155, -73.92238208999012
10,Paula Hedbavny School,40.87165312961297, -73.91213250105379
11,The Equity Project Charter School (TEP),40.86462128131116, -73.92313607776124
12,P.S. 189,40.85351255919604, -73.9279133722193
13,P.S. 189,40.85351255919604, -73.9279133722193
14,Saint Elizabeth,40.85344913315278, -73.93179122729795
15,Saint Elizabeth,40.85344913315278, -73.93179122729795
16,Manhattan Bible,40.863655322620374, -73.91799411840287
17,Fort Tryon Educational Complex,40.85138213586596, -73.93313797377374
18,Good Shepard,40.86929935047123, -73.92064435348009
19,Good Shepard,40.86929935047123, -73.92064435348009
20,Succes Academy,40.857978854549856, -73.93534885079713
21,P.S. 152 Dyckman Valley,40.86037724073122, -73.92768963482824
22,P.S./I.S. 187 Hudson Cliffs,40.85628301169591, -73.93701694523126
23,Queen Of Martyrs,40.86373694901237, -73.92800037406631
24,WHEELS ACADEMY,40.84918851833159, -73.93112997900162
25,P.S.098 Shorac Kappock,40.86807815865544, -73.91762511639543
